,Name,Theme,Filter,transformation,splines
104,Consumo - energia elétrica - tarifa média por MWh,Consumo e vendas,1,0,0
105,Índice de condições econômicas atuais (ICEA),Consumo e vendas,1,0,0
106,Vendas de veículos pelas concessionárias - Automóveis,Consumo e vendas,1,0,0
107,Vendas de veículos pelas concessionárias - Total,Consumo e vendas,1,0,0
201,Operações de crédito - saldo da carteira de crédito - Total,Moeda e crédito,1,0,0
210,Meio de Pagamento - Ampliado - M2 - depósitos em poupança   - fim de período,Moeda e crédito,1,0,0
211,Meio de Pagamento - Ampliado - M2 - depósitos em poupança  - % PIB - fim de período,Moeda e crédito,0,0,0
213,Meio de Pagamento - Restrito (M1) - depósitos à vista - média,Moeda e crédito,1,0,0
214,Fatores condicionantes da base monetária - oper. de redesconto do BC,Moeda e crédito,1,3,0
215,Fatores condicionantes da base monetária - depósitos de instituições financeiras,Moeda e crédito,1,1,0
217,Fatores condicionantes da base monetária - oper. do setor externo,Moeda e crédito,1,1,0
218,Fatores condicionantes da base monetária - oper. com títulos públicos federais,Moeda e crédito,1,1,0
219,Fatores condicionantes da base monetária - outras contas,Moeda e crédito,0,1,0
220,Fatores condicionantes da base monetária - variação da base monetária - papel-moeda emitido,Moeda e crédito,0,1,0
221,Fatores condicionantes da base monetária - variação da base monetária - reservas bancárias,Moeda e crédito,0,1,0
222,Fatores condicionantes da base monetária - Tesouro Nacional,Moeda e crédito,1,1,0
223,Fatores condicionantes da base monetária - variação da base monetária,Moeda e crédito,1,1,0
224,Meio de Pagamento - Ampliado - M3 - quotas de fundos de renda fixa - fim de período,Moeda e crédito,0,0,0
226,Base Monetária  - Restrita (M0) - média,Moeda e crédito,1,0,0
227,Base Monetária Restrita (M0) - fim de período,Moeda e crédito,0,0,0
228,Base Monetária Restrita (M0) -  % do PIB - fim de período,Moeda e crédito,1,0,0
229,Meio de Pagamento - Restrito (M1) - média,Moeda e crédito,1,0,0
230,Meio de Pagamento - Restrito (M1) - fim de período,Moeda e crédito,0,0,0
232,Meio de Pagamento - Ampliado - M2   - fim de período,Moeda e crédito,0,0,0
234,Meio de Pagamento - Ampliado - M3 - fim de período,Moeda e crédito,0,0,0
236,Meio de Pagamento - Ampliado -  M4  -  fim de período,Moeda e crédito,0,0,0
238,Meio de Pagamento - Ampliado - M3 - oper. compromissadas com títulos federais - fim de período,Moeda e crédito,1,2,0
239,Meio de Pagamento - Ampliado - M3 - oper. compromissadas com tít. fed.  - % do PIB - fim de período,Moeda e crédito,1,2,0
242,Base Monetária - Restrita (M0) - papel-moeda emitido - fim de período,Moeda e crédito,0,0,0
243,Base Monetária -  Restrita (M0) - papel-moeda emitido - média,Moeda e crédito,1,0,0
245,Meio de Pagamento - Restrito (M1) - papel-moeda em poder do público - média,Moeda e crédito,1,0,0
246,Base Monetária - Restrita (M0) - reservas bancárias - média,Moeda e crédito,1,0,0
247,Base Monetária - Restrita (M0) - reservas bancárias - fim de período,Moeda e crédito,0,0,0
248,Meio de Pagamento - Ampliado -  M4 - títulos federais (Selic)  - fim de período,Moeda e crédito,0,0,0
250,Meio de Pagamento - Ampliado - M2 - títulos privados   - fim de período,Moeda e crédito,0,0,0
258,Importações - preços - índice (média 2006 = 100),Comércio exterior,1,0,1
264,Importações - quantum - índice (média 2006 = 100),Comércio exterior,1,0,0
358,Termos de troca - índice (média 2006 = 100),Comércio exterior,1,0,0
361,Exportações - produtos básicos - preços - índice (média 2006 = 100),Comércio exterior,1,0,1
376,Exportações - produtos manufaturados - preços - índice (média 2006 = 100),Comércio exterior,1,0,1
392,Exportações - produtos semi-manufaturados - preços - índice (média 2006 = 100),Comércio exterior,1,0,1
393,Exportações - preços - índice (média 2006 = 100),Comércio exterior,1,0,1
399,Exportações - produtos básicos - quantum - índice (média 2006 = 100),Comércio exterior,1,0,0
414,Exportações - produtos manufaturados - quantum - índice (média 2006 = 100),Comércio exterior,1,0,0
430,Exportações - produtos semi-manufaturados - quantum - índice (média 2006 = 100),Comércio exterior,1,0,0
431,Exportações - quantum - índice (média 2006 = 100),Comércio exterior,1,0,0
435,Exportações - rentabilidade - índice (dez. 2003 = 100),Comércio exterior,1,0,0
471,Exportações (FOB) - destino: África,Comércio exterior,0,0,0
472,Exportações (FOB) - destino: América do Norte,Comércio exterior,0,0,0
473,"Exportações (FOB) - destino: América do Sul, Central e Caribe",Comércio exterior,0,0,0
474,Exportações (FOB) - destino: Ásia e Pacífico,Comércio exterior,0,0,0
475,Exportações (FOB) - destino: outros,Comércio exterior,0,0,0
476,Exportações (FOB) - destino: Europa,Comércio exterior,0,0,0
477,Exportações (FOB) - destino: Mercosul,Comércio exterior,0,0,0
478,Exportações (FOB) - destino: Oriente Médio,Comércio exterior,0,0,0
479,Exportações (FOB) - destino: Zona do Euro,Comércio exterior,0,0,0
480,Importações (FOB) - origem: África,Comércio exterior,0,0,0
481,Importações (FOB) - origem: América do Norte,Comércio exterior,0,0,0
482,"Importações (FOB) - origem: América do Sul, Central e Caribe",Comércio exterior,0,0,0
483,Importações (FOB) - origem: Ásia e Pacífico,Comércio exterior,0,0,0
484,Importações (FOB) - origem: outros,Comércio exterior,0,0,0
485,Importações (FOB) - origem: Europa,Comércio exterior,0,0,0
486,Importações (FOB) - origem: Mercosul,Comércio exterior,0,0,0
487,Importações (FOB) - origem: Oriente Médio,Comércio exterior,0,0,0
488,Importações (FOB) - origem: Zona do Euro,Comércio exterior,0,0,0
763,Importações - (FOB),Comércio exterior,1,0,0
1022,Exportações - Gasolina,Comércio exterior,1,0,0
1035,Exportações - fator agregado - produtos básicos - (FOB),Comércio exterior,1,0,0
1036,Exportações - fator agregado - produtos industrializados - (FOB),Comércio exterior,1,0,0
1037,Exportações - fator agregado - produtos manufaturados - (FOB),Comércio exterior,1,0,0
1038,Exportações - fator agregado - produtos semimanufaturados - (FOB),Comércio exterior,1,0,0
1039,Exportações - (FOB),Comércio exterior,1,0,0
1040,Exportações - fator agregado - transações especiais - (FOB),Comércio exterior,1,0,0
1041,Dívida mobiliária (Saldos) - Títulos do Tesouro Nacional-posição em carteira - BTN,Finanças públicas,0,2,0
1044,DLSP - dívida externa líquida - estados e municípios,Finanças públicas,0,0,0
1045,DLSP - dívida externa líquida - estados e municípios - % do PIB,Finanças públicas,0,0,0
1046,DLSP - dívida externa líquida - Governo Federal e Banco Central,Finanças públicas,0,1,0
1047,DLSP - dívida externa líquida - Governo Federal e Banco Central - % do PIB,Finanças públicas,0,1,0
1054,DLSP - dívida interna líquida - estados e municípios,Finanças públicas,0,0,0
1055,DLSP - dívida interna líquida - estados e municípios - % do PIB,Finanças públicas,0,0,0
1056,DLSP - dívida interna líquida - Governo Federal e Banco Central,Finanças públicas,0,0,0
1057,DLSP - dívida interna líquida - Governo Federal e Banco Central - % do PIB,Finanças públicas,0,0,0
